name,free_returns,items_sold,status=,shipping,price_sold
,False,,,0,
Babolat Eagle Tennis Racquet 4 3/8 Tennis Racket - Nice!,False,,Pre-Owned,1795,4495
Head Titanium Ti.S6 Racquet 4 5/8  Tennis Racket ,False,,Pre-Owned,1355,1999
2PCS Tennis Racket 27‘’ Tennis Racquets Professional Carbon Fiber with Carry Bag,False,,Brand New,0,3499
New ListingVintage Spalding Wood Tennis Racket Press,False,,New (Other),1200,1000
Yonex Vcore 95 4 1/2 Tennis Racquet | Excellent Condition,False,,Pre-Owned,1500,16500
Wilson Pro Staff BLX 95 Amplifeel Tennis Racket 16x19 11oz (2) 4 1/4 Grip,False,,Pre-Owned,1595,9500
New ListingBabolat Pure Strike 100 2nd Generation Tennis Racket - 4 3/8,False,,Pre-Owned,1499,8499
Brand New Babolat Pure Drive 2021 Tennis Racquet Nadal Racket 4 1/4*,False,,Brand New,1500,17900
New ListingWilson Pro Staff RF 97 v13 4 1/8 Tennis Racquet Only Used For 3 Hours!,False,,Pre-Owned,1200,11900
New ListingYonex Ezone 100 4 3/8 Grip Racquet Racket.  Excellent Condition,False,,Pre-Owned,1599,12999
"New ListingRossignol FT5.80 V.A.S. Tennis Racket Made In France Grip 4 3/8, W Cover",False,,Pre-Owned,1135,2900
"New ListingWilson Intrigue Tennis Racquet 4-1/4"" Grip Airlite Alloy 253g 8.9OZ Racket",False,,Pre-Owned,1088,2488
"New ListingPince Tour Pro 98,  4-3/8 grip size,  racquet",False,,Pre-Owned,1595,7800
"🎾 WILSON PRO STAFF 97LS TENNIS RACQUET, LITE SPIN, 97SQ, 18x16, 4 1/4"", 290g 🎾",False,,Pre-Owned,1195,10995
Wilson pro staff surge 5.1 Grip #2 4 1/4 Tennis Racquet,False,,Pre-Owned,1595,4000
New ListingWilson V-Matrix Fusion XL Oversize Blue Tennis Racket 4 3/8 Grip,False,,Pre-Owned,1270,1299
HEAD Liquidmetal Radical L4 Tennis Racket 98 In Headsize,False,,Pre-Owned,1425,6499
"Wilson K Factor K Pro Open 100 sq in 4 1/8""  Grip Used Tennis Racquet ",False,,Pre-Owned,0,5000
Head Titanium Ti.S6 Racquet 4 3/8 EXCELLENT Tennis Racket ,False,,Pre-Owned,1515,4498
New ListingVintage Prince Graphite Pro Series 90 Tennis Racket w/Prince Pro Cover,False,,Pre-Owned,1465,2495
PRINCE Triple Threat Thunder Rip 1200 Tennis Racquet OS 115 Head - 4-3/8” Grip,False,,Pre-Owned,1800,2000
Babolat Pure Strike 100 Tennis Racquet 4 3/8 Grip - UNSTRUNG,False,,Brand New,0,16800
"New ListingWilson Jack Kramer Pro Staff MidSize 85 Tennis Racquet 4 1/4 Graphite, W Cover",False,,Pre-Owned,1135,2900
(NEW)Head tennis racquet cover,False,,Brand New,1065,899
New ListingWilson Sledge Hammer 3.8 OS 110 4 1/2 grip Tennis Racquet Needs Grip,True,,Pre-Owned,1270,1999
New ListingWilson BURN 100 Team Adult Tennis Racquet (4-3/8) New,False,,Brand New,1400,4500
Babalot Pure Strike 16x19 4 3/8 Tennis Racket,False,,Pre-Owned,880,11000
New ListingHead Graphene XT Prestige MP Tennis Racquet Grip Size 4 1/4”,True,,Brand New,0,10900
"Prince Graphite Pro Series 90 Tennis Racquet 4 1/2"" Grip ",False,,Pre-Owned,799,3499
Wilson Hammer 7.2  4 1/8 Tennis Racquet Racket,False,,Pre-Owned,1400,2895
"NEW Wilson Adult Tennis Racket~Roger Federer~Series 1 Starter Player~Size 4 3/8""",False,,Pre-Owned,1595,1799
New ListingYonex Ezone DR98 Tennis Racket 4-1/4 Read Description,False,,Pre-Owned,0,6000
New ListingVintage Wilson Wooden Tennis Racket Champion Model,False,,Pre-Owned,1015,1999
tennis Babolat Pure Drive Lite 2021 Tennis racket new racket pro,False,,New (Other),0,9499
Wilson Essence Tennis Racket 4 3/8 L3,False,,Pre-Owned,1595,2400
Wilson Clash 26 Junior Tennis Racket 100sq 245g G2 16x19 Black Orange 4 grip,False,,Brand New,1299,11500
New ListingHead Tennis Racket Speed Pro Graphenext,False,,Pre-Owned,1600,9000
New ListingYonex VCORE 25 6th Gen Prestrung Tennis Racquet,False,,Brand New,2510,99
Head Ti.S6 Titanium Tennis Racquet Racket Extra Long Xtralong 4 1/4” Grip + Case,True,,Pre-Owned,2115,4799
Wilson Tour 110 Titanium Soft Shock Tennis Racket - L4 4 1/2 ,False,,Pre-Owned,0,2999
New ListingWILSON nCODE n3 Oversize 113 Sq Inch TENNIS RACQUET 4 3/8  NEW GRIP NEW STRINGS,False,,Pre-Owned,1350,7500
Wilson n Code Six-One 95 Tennis 18x20 Racquet 4 3/8 ,False,,Pre-Owned,880,9118
Vintage Tennis Racket Donnay with Case Polycarbon Handcrafted Wood Wooden,False,,Pre-Owned,1595,9599
New ListingHead Graphene XT Radical S Tennis Racquet Grip Size 4 -1/8,False,,Pre-Owned,1270,3300
New ListingBabolat Pure Drive Tennis Racquet Racket  107 Grip 4 3/8 free ship,False,,Brand New,0,19500
PRINCE 03 SILVER 118 Head SIZE TITANIUM CARBON OVERSIZED TENNIS RACQUET 2,False,,Pre-Owned,995,5900
New ListingHEAD i.S10 Intelligence Power Frame TENNIS RACQUET 4 1/2 - With BAG,False,,Pre-Owned,825,4499
New ListingWILSON TITANIUM PRO STAFF 6.6 TENNIS RACKET WITH CASE 4 3/8 GRIP              B3,False,,Pre-Owned,1185,1999
"PRINCE O3 SILVER SUPER OVERSIZE + 118 TENNIS RACQUET 4 1/4"" GRIP WITH CASE ",False,,Pre-Owned,2435,9599
New ListingHead Liquidmetal 8 Oversize 112 sq.in. Tennis Racket Grip 4 1/2 Grip ,True,,Pre-Owned,1270,4999
Two New Head i.Speed intelligence Speed MP unstrung racket with case 4 1/2  ,False,,New (Other),2446,9891
New ListingVintage Garcia Continental 3000 Wood Tennis Racket Racquet Made In Italy L-4 3/8,False,,Pre-Owned,1495,995
Pro Kennex Kinetic Pro 5G Tennis Racquet,False,,Pre-Owned,1595,2200
New ListingWilson Six One Tour 90 Ncode Tennis Racquet Racket Roger Federer 4-1/2 Pro Staff,True,,Pre-Owned,1599,20400
Head 2021 Gravity Pro Tennis Racquet size 4 3/8 unstrung,False,,Brand New,2115,19500
volkl organix v1 mp tennis racket 4 3/8 pre-owned Barely Used,False,,Pre-Owned,1270,9000
Vintage Macgregor Bergelin Long String 100% Graphite Tennis Racket,True,,Pre-Owned,1595,4000
"MacGregor Tourney 1 Court Super Tennis Racket Racquet 4 5/8"" Rare Vintage EUC",False,,Pre-Owned,1595,3900
Wilson Burn 95 Countervail Tennis Racquet Grip 4-3/8 Used,False,,Pre-Owned,1595,5450
NEW Wilson Clash 100 Tennis Racquet Grip Size 4 3/8,False,,Brand New,0,21900
NEW Babolat Pure Control 98 16x20 4 1/2 grip 10.4oz Tennis Racquet,False,,Brand New,825,24999
New ListingWilson Pro Staff 97L v13 4 1/4 Tennis Racquet *NEW*,False,,Brand New,0,22900
Wilson Ultra Comp Tennis Racket Grip Size 3 (4 3/8) 9.5 oz 103 sq in 16x20,False,,Pre-Owned,0,3795
Donnay Ultimate Pro Exclusive Tennis Racket  L4 With Case,False,,Pre-Owned,0,10000
,False,,,0,
Donnay Ultimate Pro Exclusive Tennis Racket  L4 With Case,False,,Pre-Owned,0,10000
Wilson Hammer 5.0 Tennis Racket Racquet Hammer System,False,,Pre-Owned,0,2900
New ListingMantis Tour 305 Tennis Racquet 4 1/4 Free Shipping,False,,Brand New,0,6999
New ListingWilson Titanium 2 Soft Shock Power Slots Tennis Racket Graphite 4 1/4 Grip,False,,Pre-Owned,1270,1299
New ListingHead Graphene 360+ Prestige MID Tennis Racquet (    ),False,,Brand New,0,11900
Wilson Burn 95 Countervail Tennis Racquet Grip 4-3/8 Used,False,,Pre-Owned,1595,5450
"New ListingVintage Wilson T5000 Tennis Racket & Cover 4.75"" Grip USA Great Condition ",False,,Pre-Owned,1244,2999
Wilson Performance Racket Cover,True,,Brand New,0,3197
"Pro Kennex Copper Plus 90 Tennis Racket 4 1/2"" Grip With Case",False,,Pre-Owned,1595,1499
Hard Tennis Racket Head Speed Mp 300 L5  YOU TEK 1 Broke String,False,,Pre-Owned,995,3900
New ListingYonex EZONE 98 Tour Deep Blue Tennis Racquet grip 4 1/4,False,,Brand New,0,19900
New ListingHead Ti.S6 Titanium Tennis Racquet Racket Extra Long  Xtralong 4 1/2 Grip,False,,Pre-Owned,0,4499
New ListingHEAD Tennis Racket 4 1/2 Directors,False,,New (Other),1295,1999
🌟Wilson🌟Ultra Power XL🌟112 Tennis Racket🌟（🇺🇸 Stock!) ,False,,Brand New,0,2160
Head Liquid Metal Fire tennis Racquet Racket 4 3/8” Great!,False,,Pre-Owned,1595,2500
Prince J/R Ace Face Oversize Tennis Racket With Cover. Great Condition!!,False,,Pre-Owned,880,1699
New ListingYonex Vcore 98 Racquet,False,,Pre-Owned,2739,16327
New ListingBabolat Drive Lite 100” sq.  4 1/8 Tennis Racquet,False,,Pre-Owned,955,7500
Wilson Ncode N6 Tennis Racquet Racket  DEMO Sticker,False,,Pre-Owned,0,2700
New ListingHEAD - Ti.S6 Titanium Tennis Racquet Xtra Long - Solid Austrian Made,False,,Pre-Owned,1100,4400
Dunlop Srixon Revo CV 5.0 midplus tennis racquet 4 1/4 grip,False,,Pre-Owned,1595,5999
Prince TT Warrior MP Triple Threat Tennis Racquet & Strap Bag,False,,Pre-Owned,910,5500
New ListingYonex RD-7 midplus 95sq tennis racket 4 3/8,False,,Pre-Owned,1500,8000
New Listingvintage spalding pamcho gonzales wooden tennis racket pro camp lamiated,False,,Brand New,1000,3999
New Listingrod laver tennis racket,False,,Pre-Owned,1100,3800
"Prince O3 Hornet Hybrid Tennis Racket O Ports red black exo 4 1/4"" L2 Midplus 27",False,,Pre-Owned,2000,2500
New ListingSolinco Blackout 285 Racquet 4 1/4,False,,Brand New,2510,99
New ListingWilson Jack Kramer Autograph Vintage Wood Tennis Racquet With Cover Grip 4 3/8,False,,Pre-Owned,1580,6000
Wilson Hammer 2.7 Si System 110 Graphite Tennis Racquet 4-1/2” Grip,False,,Pre-Owned,1595,3999
Yonex RD-7 Japan Midsize Plus 95 SQ In Tennis Racquet Grip 4 1/4 W/ Bag,True,,Pre-Owned,1895,4500
Wilson Ultra Titanium Soft Shock 4 3/8 Grip Tennis Racquet,False,,Pre-Owned,1700,2500
New ListingWilson BLX Juice 100UL Ultra Lite Tennis Racquet Amplifeel 360 4 1/8 Grip Racket,False,,Pre-Owned,1499,7200
Head Edgewood Tennis Racket,False,,Pre-Owned,1595,1280
prokennex black ace 98 precision first generation tennis racket grip #2 used,False,,Pre-Owned,1270,5000
Regent Don Budge Personal Wood Tennis Racket Fibre Reinforced Made In Japan,False,,Pre-Owned,0,1499
New Listing( ( ( VINTAGE-RARE USED ) ) )  FANSTEEL - SUPER GRAPHITE - TENNIS RACQUET ,False,,Pre-Owned,1200,2000
New ListingBabolat Drive Max 110 Tennis Racquet,False,,Pre-Owned,1595,10500
NEW Wilson Clash 100 Pro Tennis Racquet Grip Size 4 1/4,False,,Brand New,0,20900
"Wilson Fusion XL Tennis Racket Oversized Head 112 sq.in. Black 4 3/8"" Grip New ",False,,Brand New,1176,1895
Babolat Pure Storm GT Tennis Racket 98 Sq In 4 3/8,False,,Pre-Owned,880,7200
"Pro Kennex Copper Ace Racquet, 4-1/2"" Grip with Cover",False,,Pre-Owned,1000,1500
"New ListingHEAD TI. REWARD TENNIS RACQUET RACKET OVERSIZE 4 3/8"" - 3 Grip Size",False,,New (Other),1630,2499
New ListingYonex RD-7 midplus 95sq tennis racket 4 3/8,False,,Pre-Owned,1500,10000
New ListingBabolat Pure Strike 98 Tennis Racket 16 X 19 (strung) Grip 4 1/4,False,,Pre-Owned,2195,10900
Pristine Head Genesis 660 Tennis Racquet Racket 4-3/8 3 With Case 11 oz,True,,Pre-Owned,804,2499
New Listingvintage slazenger tennis racket,False,,Pre-Owned,1425,99
New Listing( ( CLEAN - USED ) ) ESTUSA - BBECKER - PROVANTECH BKS MIDPLUS  - TENNIS RACKET ,False,,Pre-Owned,1500,7500
New ListingTecnifibre TF40 305 Tennis Racquet  Grip 2 (4 1/4),False,,Pre-Owned,1595,20000
New ListingHead Radical Tennis Racquet,False,,Pre-Owned,2115,7900
New ListingWILSON SLEDGE HAMMER 2.8 STRETCH OVERSIZE TENNIS RACKET 4 5/8 Grip ,False,,Pre-Owned,1200,1599
New ListingRARE 1910s Vintage Walter Bentley Co.Tennis Racquet - Niagara Falls - Dog Decal,False,,Pre-Owned,1695,8900
Vintage Spalding Nassau Tennis Racquet in Nice Condition,False,,Pre-Owned,1200,2000
New ListingTecnifibre TFight 315 LIMITED Tennis Racket Grip Size 4 3/8 NEW,False,,Brand New,1465,24500
New ListingWilson Graphite Matrix Midsize Tennis Racquet Racket,False,,Pre-Owned,1630,2999
Vtg Weed Ceramic Boron Graphite Combo Tennis Racquet Oversize w/Case,False,,Pre-Owned,2075,9495
New ListingBabolat - Pure Aero Tennis Racket * 4 3/8,False,,Pre-Owned,1695,7999
Vintage New Prince Pro Series 110 4 3/8 No.3 Tennis Racket With Cover,False,,Brand New,2115,500
Pro Kennex Graphite Penetrator 95 Tennis Racket SL1 4 1/8 SLWide Contour,False,,Pre-Owned,880,2400
