name,free_returns,items_sold,status=,shipping,price_sold
,False,,,0,
2020-21 Bayern Munich SoccerStarz 15 Player Mini Figures Team Set Limited #500,False,,Brand New,995,9995
Tottenham Hotspur Jersey 2021/22,False,,Brand New,0,4499
New ListingTottenham Hotspur Nike Blue Youth size Large Soccer Jersey,False,,Pre-Owned,488,2899
Tottenham Hotspur Nike 2018 2019 Spurs Home Soccer Jersey Men’s Size L Large NWT,False,,Brand New,0,7490
Tottenham Hotspur 2013-2014 away soccer jersey size mens L Under Armour,False,,Pre-Owned,550,999
Men's Tottenham Hotspur Football Club 2019 White Soccer Jersey,False,,Brand New,350,4200
TOTTENHAM HOTSPUR FC Football Men's Full Zip Sweatshirt Hoodie Blue Large,False,,Pre-Owned,849,3450
Nike Vaporknit Tottenham Hotspur 20/21 3rd Match Jersey Yellow Blue Mens Sz XL,True,,Brand New,0,5999
"Nike Tottenham Hotspurs Soccer Jersey 2018 Blue, White - Kids, Boys, Youth  Sz M",False,,Pre-Owned,0,1495
Nike Tottenham Hotspur Full Zip Windbreaker Jacket Green CI9203-451 Men’s LARGE,False,,Brand New,0,9497
New ListingHM SON 7 Player Issue Tottenham Hotspur DRI-FIT Training Top 2021-22 Medium,False,,Pre-Owned,0,9907
Tottenham Hotspur Large Navy Backpack,False,,Brand New,0,2999
Nike Men's 2XL Vaporknit Tottenham Hotspur 20/21 3rd Match Jersey CK7660-720,False,,Brand New,0,6999
Tottenham Hotspur 2 Piece Home & Away 2021-22 Body Suit Officially Licensed Set,True,,,395,3695
"Tottenham Hotspur Spurs Puma Training Jacket Blue, XL Excellent Condition!",False,,Pre-Owned,999,2900
19/20 Dele Alli Tottenham Hotspur Jersey,False,,Pre-Owned,625,5000
Vaporknit 20/21 Tottenham hotspur jersey,False,,Brand New,525,4000
Nike Tottenham Hotspur FC Football Anthem Track Jacket Soccer 2018/2019 Men’s S,False,,Pre-Owned,845,4599
